學校代碼,登入次數,完成老師指派測驗卷數,自我測驗卷數,完成老師指派影片數,自我點播影片數,累積影片總時數,學生編號
084507,9,0,8,0,0,00:00:00,084507_s00426
084507,4,0,2,0,44,03:07:24,084507_s00427
084507,2,0,1,0,0,00:00:00,084507_s00428
084507,3,0,1,0,4,00:04:40,084507_s00429
084507,3,0,0,0,7,00:50:27,084507_s00430
084507,3,0,2,0,6,00:03:05,084507_s00431
084507,3,0,3,0,2,00:08:03,084507_s00432
084507,3,0,1,0,0,00:00:00,084507_s00433
084507,8,0,0,0,30,02:46:06,084507_s00434
084507,2,0,0,0,1,00:21:28,084507_s00435
084507,3,0,2,0,2,00:04:45,084507_s00436
084507,3,0,3,0,3,00:02:18,084507_s00437
084507,3,0,0,0,3,00:24:51,084507_s00438
084507,4,0,3,0,1,00:01:03,084507_s00439
084507,5,0,9,0,2,00:01:52,084507_s00440
084507,6,0,1,0,7,00:14:36,084507_s00441
084507,14,0,11,0,6,00:16:32,084507_s00442
084507,10,0,15,0,11,00:46:05,084507_s00443
084507,3,0,0,0,2,00:10:53,084507_s00444
084507,6,0,7,0,5,00:18:20,084507_s00445
084507,3,0,1,0,7,00:14:23,084507_s00446
084507,7,0,0,0,8,00:23:43,084507_s00447
084507,3,0,3,0,22,00:05:05,084507_s00448
084507,10,0,29,0,2,00:09:05,084507_s00449
084507,5,0,4,0,7,00:03:25,084507_s00450
084507,2,0,0,0,0,00:00:00,084507_s00451
084507,15,0,25,0,2,00:18:31,084507_s00452
084507,15,5,9,0,5,00:05:57,084507_s00453
084507,3,0,0,0,3,00:02:52,084507_s00454
084507,3,0,0,0,3,00:17:04,084507_s00455
084507,9,0,12,0,14,00:18:23,084507_s00456
084507,3,0,3,0,2,00:04:17,084507_s00457
084507,3,0,0,0,20,01:05:07,084507_s00458
084507,5,0,8,0,7,00:18:12,084507_s00459
084507,2,0,0,0,2,00:01:26,084507_s00460
084507,4,0,0,0,13,00:05:47,084507_s00461
084507,2,0,1,0,10,00:01:12,084507_s00462
084507,8,0,0,0,5,00:09:06,084507_s00463
084507,4,0,0,0,4,00:31:27,084507_s00464
084507,7,0,0,0,4,00:17:39,084507_s00465
084507,41,0,51,0,6,00:03:00,084507_s00466
084507,4,0,2,0,3,00:22:53,084507_s00467
084507,10,0,6,0,5,00:32:39,084507_s00468
084507,14,0,7,0,6,00:38:09,084507_s00469
084507,6,0,0,0,7,01:03:24,084507_s00470
084507,5,0,1,0,1,00:02:38,084507_s00471
084507,3,0,0,0,2,00:00:20,084507_s00472
084507,18,0,8,0,20,01:02:35,084507_s00473
084507,2,0,1,0,2,00:03:18,084507_s00474
084507,3,0,0,0,5,00:39:20,084507_s00475
084507,7,0,0,0,3,00:15:48,084507_s00476
084507,5,0,1,0,7,00:11:30,084507_s00477
084507,3,0,0,0,2,00:09:52,084507_s00478
084507,3,0,0,0,2,00:01:57,084507_s00479
084507,6,0,7,0,1,00:07:01,084507_s00480
084507,4,0,0,0,9,00:04:48,084507_s00481
084507,4,0,0,0,1,00:10:36,084507_s00482
084507,5,0,0,0,1,00:16:58,084507_s00483
084507,7,0,8,0,2,00:03:06,084507_s00484
084507,6,0,0,0,3,00:31:59,084507_s00485
084507,1,0,0,0,0,00:00:00,084507_s00486
084507,1,0,0,0,0,00:00:00,084507_s00487
084507,1,0,0,0,0,00:00:00,084507_s00488
084507,1,0,0,0,0,00:00:00,084507_s00489
084507,1,0,0,0,0,00:00:00,084507_s00490
084507,1,0,0,0,0,00:00:00,084507_s00491
084507,1,0,0,0,0,00:00:00,084507_s00492
084507,1,0,0,0,0,00:00:00,084507_s00493
084507,1,0,0,0,0,00:00:00,084507_s00494
084507,1,0,0,0,0,00:00:00,084507_s00495
084507,1,0,0,0,0,00:00:00,084507_s00496
084507,1,0,0,0,0,00:00:00,084507_s00497
084507,1,0,0,0,0,00:00:00,084507_s00498
084507,4,0,0,0,0,00:00:00,084507_s00499
084507,1,0,0,0,0,00:00:00,084507_s00500
084507,1,0,0,0,0,00:00:00,084507_s00501
084507,1,0,0,0,0,00:00:00,084507_s00502
084507,1,0,0,0,0,00:00:00,084507_s00503
